Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Chemical engineering,3.82 - 4.00,0.276243094,3.76 - 3.99,0.4,50,181,20
Civil engineering,3.75 - 3.92,0.216,3.67 - 3.91,0.314814815,54,250,17
Computer engineering,3.91 - 4.00,0.02688172,masked,0.8,5,186,4
Computer science & engineering,3.95 - 4.00,0.066852368,3.92 - 4.00,0.333333333,24,359,8
Electrical engineering,3.79 - 4.00,0.302702703,3.78 - 4.00,0.5,112,370,56
Materials engineering,3.69 - 3.92,0.35,masked,0.214285714,14,40,3
Mechanical engineering,3.83 - 4.00,0.139705882,3.82 - 4.00,0.447368421,76,544,34
Art history,3.55 - 3.89,0.590604027,3.44 - 3.87,0.579545455,88,149,51
Art,3.32 - 3.66,0.078947368,3.30 - 3.66,0.833333333,24,304,20
Dance,masked,0.063829787,masked,1.0,3,47,3
Design media arts,3.56 - 3.84,0.058441558,3.54 - 3.83,0.888888889,18,308,16
Ethnomusicology,3.75 - 3.99,0.666666667,3.76 - 4.00,0.8,10,15,8
World arts & culture,3.62 - 3.84,0.333333333,3.62 - 3.84,1.0,9,27,9
Film & television,3.80 - 3.94,0.01547619,3.82 - 3.97,0.846153846,13,840,11
Theater,3.75 - 3.88,0.031690141,3.69 - 3.87,0.888888889,9,284,8
Asian languages and linguistics,3.37 - 3.77,0.333333333,3.37 - 3.77,1.0,10,30,10
Chinese,3.59 - 3.85,0.333333333,3.57 - 3.79,0.5,18,54,9
Comparative literature,3.57 - 3.87,0.528301887,3.47 - 3.78,0.571428571,28,53,16
French,3.53 - 3.94,0.611111111,masked,0.363636364,11,18,4
Japanese,3.55 - 3.91,0.505494505,3.42 - 3.87,0.630434783,46,91,29
Korean,3.78 - 3.87,0.4,3.78 - 3.85,0.75,8,20,6
Linguistics,3.62 - 3.91,0.45631068,3.52 - 3.89,0.574468085,47,103,27
Linguistics - english,3.66 - 3.91,0.294117647,masked,0.8,5,17,4
Linguistics & anthropology,3.64 - 3.81,0.282608696,3.62 - 3.78,0.615384615,13,46,8
Linguistics & asian languages & cultures,3.69 - 3.91,0.169014085,3.68 - 3.90,0.5,24,142,12
Linguistics & computer science,3.63 - 3.93,0.280487805,3.57 - 3.82,0.608695652,23,82,14
Linguistics & philosophy,3.42 - 3.86,0.275862069,3.39 - 3.77,0.625,8,29,5
Linguistics & psychology,3.51 - 3.89,0.4,3.55 - 3.88,0.647058824,34,85,22
Linguistics & spanish,3.56 - 3.78,0.555555556,masked,0.6,5,9,3
Spanish,3.37 - 3.80,0.413333333,3.37 - 3.71,0.419354839,31,75,13
Spanish & linguistics,3.60 - 3.71,0.526315789,3.62 - 3.93,0.6,10,19,6
Applied linguistics,3.56 - 3.82,0.545454545,3.53 - 3.74,0.416666667,24,44,10
Classical civilization,3.49 - 3.79,0.416666667,masked,0.6,5,12,3
Pre human biology and society,3.73 - 3.92,0.171428571,3.76 - 3.90,0.5,36,210,18
Pre-cognitive science,3.74 - 3.94,0.373786408,3.70 - 3.94,0.636363636,77,206,49
Pre-global studies,3.77 - 3.98,0.314285714,3.77 - 4.00,0.575757576,66,210,38
American literature & culture,3.48 - 3.73,0.453125,3.49 - 3.81,0.75862069,29,64,22
English,3.68 - 3.93,0.432653061,3.63 - 3.92,0.534591195,318,735,170
Philosophy,3.54 - 3.86,0.536723164,3.53 - 3.85,0.563157895,190,354,107
Pre-history,3.62 - 3.93,0.527075812,3.59 - 3.93,0.671232877,292,554,196
Pre-applied mathematics,3.78 - 3.98,0.423529412,3.77 - 3.98,0.601851852,108,255,65
Pre-data theory,3.70 - 4.00,0.543859649,3.64 - 3.94,0.532258065,62,114,33
Pre-financial actuarial mathematics,3.87 - 4.00,0.371428571,3.86 - 4.00,0.634615385,52,140,33
Pre-mathematics,3.81 - 4.00,0.358156028,3.77 - 3.97,0.524752475,101,282,53
Pre-mathematics for teaching,3.64 - 3.87,0.333333333,3.65 - 3.80,0.529411765,17,51,9
Pre-mathematics of computation,3.79 - 3.95,0.447916667,3.76 - 3.91,0.558139535,43,96,24
Pre-mathematics/applied science,3.51 - 3.85,0.409090909,masked,0.444444444,9,22,4
Pre-mathematics/economics,3.85 - 3.98,0.363095238,3.84 - 3.97,0.754098361,61,168,46
Pre-statistics,3.89 - 4.00,0.352348993,3.85 - 4.00,0.552380952,105,298,58
Nursing - four year program,3.64 - 3.85,0.050209205,3.62 - 3.82,0.833333333,12,239,10
Astrophysics,3.81 - 3.95,0.23880597,3.83 - 3.88,0.4375,16,67,7
Chemistry,3.72 - 3.95,0.290102389,3.70 - 3.91,0.470588235,85,293,40
Earth and environmental science,3.73 - 3.95,0.27027027,masked,0.4,10,37,4
Geology,3.71 - 3.80,0.263157895,masked,0.6,5,19,3
Physics,3.77 - 3.95,0.323529412,3.66 - 3.94,0.454545455,66,204,30
Pre-psychobiology,3.70 - 3.94,0.310344828,3.68 - 3.93,0.759259259,54,174,41
Pre-psychology,3.77 - 4.00,0.191622103,3.77 - 4.00,0.781395349,430,2244,336
Pre-public affairs,3.49 - 3.84,0.3125,3.52 - 3.84,0.6,40,128,24
Anthropology,3.58 - 3.88,0.470588235,3.55 - 3.85,0.65625,224,476,147
Geography,3.47 - 3.85,0.588235294,3.36 - 3.82,0.633333333,60,102,38
Geography/environmental studies,3.54 - 3.96,0.566037736,3.58 - 3.96,0.6,30,53,18
Pre international development studies,3.58 - 3.89,0.276190476,3.57 - 3.94,0.448275862,29,105,13
Pre-economics,3.83 - 4.00,0.165880503,3.80 - 4.00,0.611374408,211,1272,129
Pre-political science,3.73 - 3.97,0.387073348,3.71 - 3.94,0.60412758,533,1377,322
Pre-sociology,3.70 - 3.93,0.381182147,3.67 - 3.93,0.610759494,632,1658,386
