Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Environmental science,3.51 - 3.84,0.179310345,3.41 - 3.87,0.5,26,145,13
Architectural studies,3.61 - 3.94,0.13877551,3.58 - 3.90,0.676470588,34,245,23
African american studies,3.25 - 3.62,0.291666667,3.24 - 3.56,0.714285714,21,72,15
American indian studies,3.33 - 3.44,0.4,masked,0.666666667,6,15,4
Asian american studies,3.46 - 3.70,0.368421053,3.44 - 3.70,0.642857143,14,38,9
Asian humanities,3.57 - 3.86,0.298507463,3.56 - 3.80,0.35,20,67,7
Chicana & chicano studies,3.26 - 3.73,0.406976744,3.25 - 3.63,0.685714286,35,86,24
Gender studies,3.53 - 3.86,0.426229508,3.54 - 3.84,0.730769231,78,183,57
Pre-asian studies,3.67 - 3.90,0.348837209,3.63 - 3.88,0.466666667,30,86,14
Spanish and community and culture,3.44 - 3.70,0.525,3.35 - 3.81,0.476190476,21,40,10
Biochemistry,3.73 - 3.96,0.37434555,3.70 - 3.93,0.517482517,143,382,74
Biology,3.76 - 3.96,0.205020921,3.72 - 3.94,0.566326531,196,956,111
"Ecology, behavior & evolution",3.59 - 3.93,0.158536585,3.59 - 3.83,0.538461538,13,82,7
Microbiology - immunology - molecular genetics,3.75 - 3.99,0.268518519,3.71 - 3.92,0.568965517,58,216,33
"Molecular, cell, & developmental biology",3.76 - 3.94,0.37962963,3.75 - 3.93,0.609756098,82,216,50
Neuroscience,3.72 - 3.96,0.221105528,3.70 - 3.87,0.636363636,44,199,28
Physiological science,3.70 - 3.89,0.292857143,3.68 - 3.89,0.780487805,41,140,32
Pre-computational & systems biology,3.51 - 3.62,0.357142857,3.51 - 3.62,1.0,5,14,5
Labor studies,3.45 - 3.87,0.32,masked,0.375,8,25,3
Pre-business economics,3.85 - 4.00,0.115014437,3.84 - 4.00,0.60251046,239,2078,144
Communication,3.95 - 4.00,0.091673675,3.95 - 4.00,0.76146789,109,1189,83
Computer science,3.93 - 4.00,0.044705882,3.92 - 4.00,0.605263158,76,1700,46
Aerospace engineering,3.88 - 3.97,0.09478673,3.90 - 4.00,0.75,20,211,15
Bioengineering,3.77 - 4.00,0.138686131,masked,0.157894737,19,137,3
