Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Pre-applied mathematics,3.79 - 3.96,0.368888889,3.73 - 3.95,0.481927711,83,225,40
Pre-data theory,3.86 - 4.00,0.34375,3.85 - 3.97,0.545454545,99,288,54
Pre-financial actuarial mathematics,3.79 - 4.00,0.384615385,3.76 - 4.00,0.571428571,35,91,20
Pre-mathematics,3.80 - 4.00,0.43718593,3.77 - 4.00,0.459770115,87,199,40
Pre-mathematics for teaching,3.69 - 3.93,0.289473684,masked,0.363636364,11,38,4
Pre-mathematics of computation,3.83 - 3.98,0.552083333,3.88 - 3.96,0.396226415,53,96,21
Pre-mathematics/applied science,3.52 - 3.80,0.259259259,3.51 - 3.65,0.714285714,7,27,5
Pre-mathematics/economics,3.86 - 4.00,0.447916667,3.85 - 3.99,0.558139535,43,96,24
Pre-statistics,3.90 - 4.00,0.425,3.87 - 4.00,0.470588235,85,200,40
Nursing - four year program,3.80 - 3.95,0.054187192,3.79 - 3.93,0.909090909,22,406,20
Astrophysics,3.44 - 4.00,0.313432836,3.68 - 4.00,0.333333333,21,67,7
Chemistry,3.60 - 3.91,0.349514563,3.58 - 3.91,0.527777778,72,206,38
Earth and environmental science,3.59 - 3.91,0.288135593,3.66 - 3.91,0.588235294,17,59,10
Physics,3.77 - 3.97,0.340136054,3.81 - 3.98,0.4,50,147,20
Pre-psychobiology,3.74 - 3.96,0.183098592,3.64 - 3.95,0.717948718,39,213,28
Pre-psychology,3.78 - 4.00,0.224373075,3.78 - 4.00,0.77254902,510,2273,394
Pre-public affairs,3.72 - 4.00,0.300970874,3.68 - 4.00,0.903225806,31,103,28
Anthropology,3.62 - 3.94,0.563451777,3.61 - 3.92,0.594594595,222,394,132
Geography,3.54 - 3.92,0.655737705,3.63 - 3.87,0.5,40,61,20
Pre international development studies,3.52 - 3.89,0.283018868,3.57 - 3.88,0.633333333,30,106,19
Pre-economics,3.89 - 4.00,0.186688312,3.87 - 4.00,0.6,230,1232,138
Pre-political science,3.78 - 4.00,0.404255319,3.79 - 4.00,0.669172932,532,1316,356
Pre-sociology,3.78 - 4.00,0.402238806,3.77 - 4.00,0.625231911,539,1340,337
